date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-16-2020,1,0,0,1,0.0,0.0,0
03-17-2020,1,0,0,1,0.0,0.0,0.0
03-18-2020,1,0,0,1,0.0,0.0,0.0
03-19-2020,1,0,0,1,0.0,0.0,0.0
03-20-2020,1,0,0,1,0.0,0.0,0.0
03-21-2020,1,0,0,1,0.0,0.0,0.0
03-22-2020,1,0,0,1,0.0,0.0,0.0
03-23-2020,1,0,0,1,0.0,0.0,0.0
03-24-2020,1,0,0,1,0.0,0.0,0.0
03-25-2020,1,0,0,1,0.0,0.0,0.0
03-26-2020,2,0,0,2,0.0,0.0,1.0
03-27-2020,3,0,0,3,0.0,0.0,0.5
03-28-2020,3,0,0,3,0.0,0.0,0.0
03-29-2020,3,0,0,3,0.0,0.0,0.0
03-30-2020,3,0,0,3,0.0,0.0,0.0
03-31-2020,5,0,1,4,0.0,20.0,0.6666666666666666
04-01-2020,5,0,1,4,0.0,20.0,0.0
04-02-2020,5,0,1,4,0.0,20.0,0.0
04-03-2020,7,0,1,6,0.0,14.29,0.4
04-04-2020,7,0,1,6,0.0,14.29,0.0
04-05-2020,7,0,1,6,0.0,14.29,0.0
04-06-2020,7,0,1,6,0.0,14.29,0.0
04-07-2020,8,0,1,7,0.0,12.5,0.14285714285714285
04-08-2020,12,1,1,11,8.33,8.33,0.5
04-09-2020,12,1,1,11,8.33,8.33,0.0
04-10-2020,21,1,1,20,4.76,4.76,0.75
04-11-2020,21,1,1,20,4.76,4.76,0.0
04-12-2020,25,1,2,23,4.0,8.0,0.19047619047619047
04-13-2020,60,2,2,58,3.33,3.33,1.4
04-14-2020,60,2,2,58,3.33,3.33,0.0
04-15-2020,80,5,2,78,6.25,2.5,0.3333333333333333
04-16-2020,80,5,2,78,6.25,2.5,0.0
04-17-2020,116,6,2,114,5.17,1.72,0.45
04-18-2020,135,7,2,133,5.19,1.48,0.16379310344827586
04-19-2020,164,7,3,161,4.27,1.83,0.21481481481481482
04-20-2020,237,8,4,233,3.38,1.69,0.4451219512195122
04-21-2020,286,8,4,282,2.8,1.4,0.20675105485232068
04-22-2020,286,8,4,282,2.8,1.4,0.0
04-23-2020,328,16,8,320,4.88,2.44,0.14685314685314685
04-24-2020,328,16,8,320,4.88,2.44,0.0
04-25-2020,390,18,8,382,4.62,2.05,0.18902439024390244
04-26-2020,436,23,10,426,5.28,2.29,0.11794871794871795
04-27-2020,480,26,10,470,5.42,2.08,0.10091743119266056
04-28-2020,528,28,19,509,5.3,3.6,0.1
