date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-05-2020,1,0,0,1,0.0,0.0,0
03-06-2020,1,0,0,1,0.0,0.0,0.0
03-07-2020,1,0,0,1,0.0,0.0,0.0
03-08-2020,3,0,0,3,0.0,0.0,2.0
03-09-2020,3,0,0,3,0.0,0.0,0.0
03-10-2020,7,0,0,7,0.0,0.0,1.3333333333333333
03-11-2020,13,0,0,13,0.0,0.0,0.8571428571428571
03-12-2020,17,0,0,17,0.0,0.0,0.3076923076923077
03-13-2020,24,0,0,24,0.0,0.0,0.4117647058823529
03-14-2020,38,0,0,38,0.0,0.0,0.5833333333333334
03-15-2020,51,0,0,51,0.0,0.0,0.34210526315789475
03-16-2020,62,0,0,62,0.0,0.0,0.21568627450980393
03-17-2020,62,0,0,62,0.0,0.0,0.0
03-18-2020,116,0,0,116,0.0,0.0,0.8709677419354839
03-19-2020,150,0,0,150,0.0,0.0,0.29310344827586204
03-20-2020,202,0,0,202,0.0,0.0,0.3466666666666667
03-21-2020,240,0,0,240,0.0,0.0,0.18811881188118812
03-22-2020,274,0,2,272,0.0,0.73,0.14166666666666666
03-23-2020,402,0,4,398,0.0,1.0,0.46715328467153283
03-24-2020,554,0,4,550,0.0,0.72,0.3781094527363184
03-25-2020,709,0,12,697,0.0,1.69,0.27978339350180503
03-26-2020,927,0,12,915,0.0,1.29,0.307475317348378
03-27-2020,1170,1,31,1139,0.09,2.65,0.2621359223300971
03-28-2020,1187,1,31,1156,0.08,2.61,0.01452991452991453
03-29-2020,1280,2,31,1249,0.16,2.42,0.07834877843302443
03-30-2020,1326,3,31,1295,0.23,2.34,0.0359375
03-31-2020,1353,5,31,1322,0.37,2.29,0.020361990950226245
04-01-2020,1380,5,50,1330,0.36,3.62,0.019955654101995565
04-02-2020,1462,5,50,1412,0.34,3.42,0.059420289855072465
04-03-2020,1505,9,95,1410,0.6,6.31,0.029411764705882353
04-04-2020,1585,9,95,1490,0.57,5.99,0.053156146179401995
04-05-2020,1655,11,95,1560,0.66,5.74,0.04416403785488959
04-06-2020,1686,12,95,1591,0.71,5.63,0.018731117824773415
04-07-2020,1749,13,95,1654,0.74,5.43,0.037366548042704624
04-08-2020,1845,18,95,1750,0.98,5.15,0.0548885077186964
04-09-2020,1934,18,95,1839,0.93,4.91,0.048238482384823846
04-10-2020,2003,24,410,1593,1.2,20.47,0.035677352637021716
04-11-2020,2028,25,410,1618,1.23,20.22,0.012481278082875686
04-12-2020,2173,25,410,1763,1.15,18.87,0.07149901380670612
04-13-2020,2272,27,410,1862,1.19,18.05,0.04555913483663138
