date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
04-05-2020,1,0,0,1,0.0,0.0,0
04-06-2020,1,0,0,1,0.0,0.0,0.0
04-07-2020,2,0,0,2,0.0,0.0,1.0
04-08-2020,2,0,0,2,0.0,0.0,0.0
04-09-2020,3,0,0,3,0.0,0.0,0.5
04-10-2020,4,0,0,4,0.0,0.0,0.3333333333333333
04-11-2020,4,0,0,4,0.0,0.0,0.0
04-12-2020,4,0,0,4,0.0,0.0,0.0
04-13-2020,4,0,0,4,0.0,0.0,0.0
04-14-2020,4,0,0,4,0.0,0.0,0.0
04-15-2020,4,0,0,4,0.0,0.0,0.0
04-16-2020,4,0,0,4,0.0,0.0,0.0
04-17-2020,4,0,0,4,0.0,0.0,0.0
04-18-2020,4,0,0,4,0.0,0.0,0.0
04-19-2020,4,0,0,4,0.0,0.0,0.0
04-20-2020,4,0,0,4,0.0,0.0,0.0
04-21-2020,4,0,0,4,0.0,0.0,0.0
04-22-2020,4,0,0,4,0.0,0.0,0.0
04-23-2020,5,0,0,5,0.0,0.0,0.25
