date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
02-01-2020,1,0,0,1,0,0,1
02-02-2020,1,0,0,1,0,0,1.0
02-03-2020,1,0,0,1,0,0,1.0
02-04-2020,1,0,0,1,0,0,1.0
02-05-2020,1,0,0,1,0,0,1.0
02-06-2020,1,0,0,1,0,0,1.0
02-07-2020,1,0,0,1,0,0,1.0
02-08-2020,1,0,0,1,0,0,1.0
02-09-2020,2,0,0,2,0,0,2.0
02-10-2020,2,0,0,2,0,0,1.0
02-11-2020,2,0,0,2,0,0,1.0
02-12-2020,2,0,0,2,0,0,1.0
02-13-2020,2,0,0,2,0,0,1.0
02-14-2020,2,0,0,2,0,0,1.0
02-15-2020,2,0,2,0,0,100.0,1.0
02-16-2020,2,0,2,0,0,100.0,1.0
02-17-2020,2,0,2,0,0,100.0,1.0
02-18-2020,2,0,2,0,0,100.0,1.0
02-19-2020,2,0,2,0,0,100.0,1.0
02-20-2020,2,0,2,0,0,100.0,1.0
02-21-2020,2,0,2,0,0,100.0,1.0
02-22-2020,2,0,2,0,0,100.0,1.0
02-23-2020,2,0,2,0,0,100.0,1.0
02-24-2020,2,0,2,0,0,100.0,1.0
02-25-2020,6,0,2,4,0,33.33,3.0
02-26-2020,13,0,2,11,0,15.38,2.166666666666667
02-27-2020,15,0,2,13,0,13.33,1.1538461538461537
02-28-2020,32,0,2,30,0,6.25,2.1333333333333333
02-29-2020,45,0,2,43,0,4.44,1.40625
03-01-2020,84,0,2,82,0,2.38,1.8666666666666667
03-02-2020,120,0,2,118,0,1.67,1.4285714285714286
03-03-2020,165,1,2,163,0.61,1.21,1.375
03-04-2020,222,2,2,220,0.9,0.9,1.3454545454545455
03-05-2020,259,3,2,257,1.16,0.77,1.1666666666666667
03-06-2020,400,5,2,398,1.25,0.5,1.5444015444015444
03-07-2020,500,10,30,470,2.0,6.0,1.25
03-08-2020,673,17,30,643,2.53,4.46,1.346
03-09-2020,1073,28,32,1041,2.61,2.98,1.5943536404160477
03-10-2020,1695,35,32,1663,2.06,1.89,1.5796831314072692
03-11-2020,2277,54,183,2094,2.37,8.04,1.343362831858407
03-12-2020,2277,55,183,2094,2.42,8.04,1.0
03-13-2020,5232,133,193,5039,2.54,3.69,2.297760210803689
03-14-2020,6391,195,517,5874,3.05,8.09,1.2215214067278288
03-15-2020,7798,289,517,7281,3.71,6.63,1.2201533406352683
03-16-2020,9942,342,530,9412,3.44,5.33,1.2749422928956142
