date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-31-2020,1,0,0,1,0.0,0.0,0.0
02-01-2020,1,0,0,1,0.0,0.0,0.0
02-02-2020,1,0,0,1,0.0,0.0,0.0
02-03-2020,1,0,0,1,0.0,0.0,0.0
02-04-2020,1,0,0,1,0.0,0.0,0.0
02-05-2020,1,0,0,1,0.0,0.0,0.0
02-06-2020,1,0,0,1,0.0,0.0,0.0
02-07-2020,1,0,0,1,0.0,0.0,0.0
02-08-2020,1,0,0,1,0.0,0.0,0.0
02-09-2020,1,0,0,1,0.0,0.0,0.0
02-10-2020,1,0,0,1,0.0,0.0,0.0
02-11-2020,1,0,0,1,0.0,0.0,0.0
02-12-2020,1,0,0,1,0.0,0.0,0.0
02-13-2020,1,0,0,1,0.0,0.0,0.0
02-14-2020,1,0,0,1,0.0,0.0,0.0
02-15-2020,1,0,0,1,0.0,0.0,0.0
02-16-2020,1,0,0,1,0.0,0.0,0.0
02-17-2020,1,0,0,1,0.0,0.0,0.0
02-18-2020,1,0,0,1,0.0,0.0,0.0
02-19-2020,1,0,0,1,0.0,0.0,0.0
02-20-2020,1,0,0,1,0.0,0.0,0.0
02-21-2020,1,0,0,1,0.0,0.0,0.0
02-22-2020,1,0,0,1,0.0,0.0,0.0
02-23-2020,1,0,0,1,0.0,0.0,0.0
02-24-2020,1,0,0,1,0.0,0.0,0.0
02-25-2020,1,0,0,1,0.0,0.0,0.0
02-26-2020,2,0,0,2,0.0,0.0,0.0
02-27-2020,7,0,0,7,0.0,0.0,0.0
02-28-2020,7,0,0,7,0.0,0.0,0.0
02-29-2020,12,0,0,12,0.0,0.0,0.0
03-01-2020,14,0,0,14,0.0,0.0,0.0
03-02-2020,15,0,0,15,0.0,0.0,0.0
03-03-2020,21,0,0,21,0.0,0.0,0.0
03-04-2020,35,0,0,35,0.0,0.0,0.0
03-05-2020,94,0,0,94,0.0,0.0,0.0
03-06-2020,101,0,0,101,0.0,0.0,0.0
03-07-2020,161,0,0,161,0.0,0.0,0.0
03-08-2020,203,0,0,203,0.0,0.0,0.0
03-09-2020,248,0,1,247,0.0,0.4,0.0
03-10-2020,355,0,1,354,0.0,0.28,0.0
03-11-2020,500,1,1,499,0.2,0.2,0.0
03-12-2020,599,1,1,598,0.17,0.17,0.0
03-13-2020,814,1,1,813,0.12,0.12,0.0
03-14-2020,961,2,1,960,0.21,0.1,0.0
03-15-2020,1022,3,1,1021,0.29,0.1,0.0
03-16-2020,1103,6,1,1102,0.54,0.09,0.0
03-17-2020,1190,7,1,1189,0.59,0.08,0.0
03-18-2020,1279,10,1,1278,0.78,0.08,0.0
03-19-2020,1439,11,16,1423,0.76,1.11,0.0
03-20-2020,1639,16,16,1623,0.98,0.98,0.0
03-21-2020,1763,20,16,1747,1.13,0.91,0.0
03-22-2020,1931,21,16,1915,1.09,0.83,0.0
03-23-2020,2046,25,16,2030,1.22,0.78,0.0
03-24-2020,2286,36,16,2270,1.57,0.7,0.0
03-25-2020,2526,62,16,2510,2.45,0.63,0.0
03-26-2020,2840,77,16,2824,2.71,0.56,0.0
03-27-2020,3069,105,16,3053,3.42,0.52,0.0
03-28-2020,3447,105,16,3431,3.05,0.46,0.0
03-29-2020,3700,110,16,3684,2.97,0.43,0.0
03-30-2020,4028,146,16,4012,3.62,0.4,0.0
03-31-2020,4435,180,16,4419,4.06,0.36,0.0
04-01-2020,4947,239,103,4844,4.83,2.08,0.0
