date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
04-30-2020,15,0,0,15,0.0,0.0,1
05-01-2020,15,0,0,15,0.0,0.0,1.0
05-02-2020,76,2,0,76,2.63,0.0,5.066666666666666
05-03-2020,128,2,0,128,1.56,0.0,1.6842105263157894
05-04-2020,230,3,0,230,1.3,0.0,1.796875
05-05-2020,293,5,0,293,1.71,0.0,1.2739130434782608
05-06-2020,379,8,0,379,2.11,0.0,1.2935153583617747
05-07-2020,461,12,0,461,2.6,0.0,1.2163588390501319
05-08-2020,522,12,0,522,2.3,0.0,1.1323210412147506
05-09-2020,612,20,0,612,3.27,0.0,1.1724137931034484
05-10-2020,612,20,0,612,3.27,0.0,1.0
05-11-2020,661,21,0,661,3.18,0.0,1.0800653594771241
05-12-2020,729,21,0,729,2.88,0.0,1.102874432677761
05-13-2020,801,23,0,801,2.87,0.0,1.0987654320987654
05-14-2020,907,29,0,907,3.2,0.0,1.132334581772784
05-15-2020,1118,33,0,1118,2.95,0.0,1.2326350606394707
05-16-2020,1322,36,0,1322,2.72,0.0,1.1824686940966012
05-17-2020,1524,39,0,1524,2.56,0.0,1.1527987897125567
05-18-2020,1729,41,0,1729,2.37,0.0,1.1345144356955381
05-19-2020,1936,41,641,1295,2.12,33.11,1.1197223828802776
05-20-2020,2140,41,470,1670,1.92,21.96,1.1053719008264462
05-21-2020,2350,44,470,1880,1.87,20.0,1.0981308411214954
05-22-2020,2551,44,1089,1462,1.72,42.69,1.0855319148936171
05-23-2020,2738,44,1223,1515,1.61,44.67,1.0733045864366915
05-24-2020,2929,46,1301,1628,1.57,44.42,1.0697589481373264
05-25-2020,3100,46,1395,1705,1.48,45.0,1.0583817002389895
05-26-2020,3266,47,1417,1849,1.44,43.39,1.0535483870967741
05-27-2020,3424,47,1575,1849,1.37,46.0,1.048377219840784
05-28-2020,3563,47,1674,1889,1.32,46.98,1.0405957943925235
05-29-2020,3686,47,1769,1917,1.28,47.99,1.034521470670783
05-30-2020,3807,47,1865,1942,1.23,48.99,1.0328269126424308
05-31-2020,3930,47,2004,1926,1.2,50.99,1.0323089046493301
06-01-2020,4013,47,2089,1924,1.17,52.06,1.021119592875318
06-02-2020,4100,47,2217,1883,1.15,54.07,1.021679541490157
06-03-2020,4191,48,2347,1844,1.15,56.0,1.0221951219512195
06-04-2020,4289,48,2401,1888,1.12,55.98,1.0233834407062754
06-05-2020,4370,48,2491,1879,1.1,57.0,1.0188855211004897
06-06-2020,4453,48,2583,1870,1.08,58.01,1.0189931350114416
06-07-2020,4529,48,2673,1856,1.06,59.02,1.017067145744442
06-08-2020,4609,48,2763,1846,1.04,59.95,1.017663943475381
06-09-2020,4690,48,2815,1875,1.02,60.02,1.017574311130397
06-10-2020,4763,48,2947,1816,1.01,61.87,1.0155650319829423
06-11-2020,4834,49,3062,1772,1.01,63.34,1.0149065714885577
06-12-2020,4902,49,3158,1744,1.0,64.42,1.0140670252378983
06-13-2020,4971,50,3288,1683,1.01,66.14,1.0140758873929008
06-14-2020,5035,50,3409,1626,0.99,67.71,1.0128746731040033
06-15-2020,5097,50,3503,1594,0.98,68.73,1.0123138033763655
06-16-2020,5160,50,3624,1536,0.97,70.23,1.0123602118893467
06-17-2020,5221,51,3700,1521,0.98,70.87,1.0118217054263565
06-18-2020,5279,51,3762,1517,0.97,71.26,1.0111089829534572
06-19-2020,5338,51,3830,1508,0.96,71.75,1.0111763591589316
06-20-2020,5399,52,3894,1505,0.96,72.12,1.0114275009366804
06-21-2020,5457,52,3995,1462,0.95,73.21,1.0107427301352103
06-22-2020,5513,52,4039,1474,0.94,73.26,1.0102620487447316
06-23-2020,5567,52,4109,1458,0.93,73.81,1.0097950299292582
06-24-2020,5630,52,4194,1436,0.92,74.49,1.0113166876234956
06-25-2020,5691,52,4267,1424,0.91,74.98,1.0108348134991119
06-26-2020,5747,52,4331,1416,0.9,75.36,1.009840098400984
06-27-2020,5799,52,4391,1408,0.9,75.72,1.0090481990603792
06-28-2020,5849,52,4448,1401,0.89,76.05,1.0086221762372822
06-29-2020,5900,52,4506,1394,0.88,76.37,1.0087194392203795
06-30-2020,5900,52,4506,1394,0.88,76.37,1.0
07-01-2020,6005,52,4627,1378,0.87,77.05,1.0177966101694915
07-02-2020,6058,52,4690,1368,0.86,77.42,1.0088259783513738
07-03-2020,6058,52,4690,1368,0.86,77.42,1.0
07-04-2020,6159,52,4809,1350,0.84,78.08,1.016672169032684
07-05-2020,6213,53,4858,1355,0.85,78.19,1.0087676570871895
07-06-2020,6262,53,4914,1348,0.85,78.47,1.0078866892000644
07-07-2020,6315,53,4965,1350,0.84,78.62,1.0084637496007665
07-08-2020,6364,54,5011,1353,0.85,78.74,1.007759303246239
07-09-2020,6410,54,5067,1343,0.84,79.05,1.007228158390949
07-10-2020,6457,55,5115,1342,0.85,79.22,1.0073322932917317
07-11-2020,6506,55,5176,1330,0.85,79.56,1.0075886634660058
07-12-2020,6552,55,5228,1324,0.84,79.79,1.0070703965570242
