date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate
03-16-2020,1,0,0,1,0.0,0.0
03-17-2020,1,0,0,1,0.0,0.0
03-18-2020,3,0,0,3,0.0,0.0
03-19-2020,6,0,0,6,0.0,0.0
03-20-2020,6,0,0,6,0.0,0.0
03-21-2020,6,0,0,6,0.0,0.0
03-22-2020,12,0,0,12,0.0,0.0
03-23-2020,12,0,0,12,0.0,0.0
03-24-2020,12,0,0,12,0.0,0.0
03-25-2020,12,0,0,12,0.0,0.0
03-26-2020,13,0,0,13,0.0,0.0
03-27-2020,13,0,1,12,0.0,7.69
03-28-2020,14,0,1,13,0.0,7.14
03-29-2020,14,0,1,13,0.0,7.14
03-30-2020,19,0,1,18,0.0,5.26
03-31-2020,19,1,1,18,5.26,5.26
