date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-22-2020,4,0,2,2,0,50.0,1
01-23-2020,4,0,2,2,0,50.0,1.0
01-24-2020,5,0,3,2,0,60.0,1.25
01-25-2020,6,0,3,3,0,50.0,1.2
01-26-2020,8,0,6,2,0,75.0,1.3333333333333333
01-27-2020,8,0,6,2,0,75.0,1.0
01-28-2020,14,0,6,8,0,42.86,1.75
01-29-2020,14,0,6,8,0,42.86,1.0
01-30-2020,14,0,7,7,0,50.0,1.0
01-31-2020,19,0,8,11,0,42.11,1.3571428571428572
02-01-2020,19,0,8,11,0,42.11,1.0
02-02-2020,19,0,9,10,0,47.37,1.0
02-03-2020,19,0,9,10,0,47.37,1.0
02-04-2020,25,0,10,15,0,40.0,1.3157894736842106
02-05-2020,25,0,10,15,0,40.0,1.0
02-06-2020,25,0,10,15,0,40.0,1.0
02-07-2020,25,0,10,15,0,40.0,1.0
02-08-2020,32,0,10,22,0,31.25,1.28
02-09-2020,32,0,11,21,0,34.38,1.0
02-10-2020,32,0,11,21,0,34.38,1.0
02-11-2020,33,0,11,22,0,33.33,1.03125
02-12-2020,33,0,11,22,0,33.33,1.0
02-13-2020,33,0,11,22,0,33.33,1.0
02-14-2020,33,0,11,22,0,33.33,1.0
02-15-2020,34,0,13,21,0,38.24,1.0303030303030303
02-16-2020,34,0,15,19,0,44.12,1.0
02-17-2020,35,0,15,20,0,42.86,1.0294117647058822
02-18-2020,35,0,15,20,0,42.86,1.0
02-19-2020,35,0,15,20,0,42.86,1.0
02-20-2020,35,0,17,18,0,48.57,1.0
02-21-2020,35,0,19,16,0,54.29,1.0
02-22-2020,35,0,20,15,0,57.14,1.0
02-23-2020,35,0,21,14,0,60.0,1.0
02-24-2020,35,0,21,14,0,60.0,1.0
02-25-2020,37,0,22,15,0,59.46,1.0571428571428572
02-26-2020,40,0,24,16,0,60.0,1.0810810810810811
02-27-2020,40,0,24,16,0,60.0,1.0
02-28-2020,41,0,28,13,0,68.29,1.025
02-29-2020,42,0,28,14,0,66.67,1.024390243902439
03-01-2020,42,1,30,12,2.38,71.43,1.0
03-02-2020,43,1,31,12,2.33,72.09,1.0238095238095237
03-03-2020,43,1,31,12,2.33,72.09,1.0
03-04-2020,43,1,31,12,2.33,72.09,1.0
03-05-2020,47,1,31,16,2.13,65.96,1.0930232558139534
03-06-2020,48,1,31,17,2.08,64.58,1.0212765957446808
03-07-2020,50,1,31,19,2.0,62.0,1.0416666666666667
03-08-2020,50,1,33,17,2.0,66.0,1.0
03-09-2020,50,1,33,17,2.0,66.0,1.0
03-10-2020,53,1,33,20,1.89,62.26,1.06
03-11-2020,59,1,34,25,1.69,57.63,1.1132075471698113
03-12-2020,70,1,35,35,1.43,50.0,1.1864406779661016
03-13-2020,75,1,35,40,1.33,46.67,1.0714285714285714
03-14-2020,82,1,35,47,1.22,42.68,1.0933333333333333
03-15-2020,114,1,37,77,0.88,32.46,1.3902439024390243
03-16-2020,147,1,38,109,0.68,25.85,1.2894736842105263
03-17-2020,177,1,41,136,0.56,23.16,1.2040816326530612
03-18-2020,212,1,42,170,0.47,19.81,1.1977401129943503
03-19-2020,272,1,42,230,0.37,15.44,1.2830188679245282
03-20-2020,322,1,43,279,0.31,13.35,1.1838235294117647
03-21-2020,411,1,44,367,0.24,10.71,1.2763975155279503
03-22-2020,599,1,45,554,0.17,7.51,1.4574209245742091
03-23-2020,721,1,52,669,0.14,7.21,1.2036727879799667
03-24-2020,827,4,57,770,0.48,6.89,1.147018030513176
03-25-2020,934,4,70,864,0.43,7.49,1.1293833131801694
03-26-2020,1045,4,88,957,0.38,8.42,1.1188436830835118
03-27-2020,1136,5,97,1039,0.44,8.54,1.0870813397129186
03-28-2020,1245,6,100,1145,0.48,8.03,1.095950704225352
03-29-2020,1388,7,111,1277,0.5,8.0,1.114859437751004
03-30-2020,1524,9,127,1397,0.59,8.33,1.0979827089337175
03-31-2020,1651,10,342,1309,0.61,20.71,1.0833333333333333
04-01-2020,1771,12,416,1355,0.68,23.49,1.0726832222895215
04-02-2020,1875,15,505,1370,0.8,26.93,1.0587238848108413
04-03-2020,1978,19,581,1397,0.96,29.37,1.0549333333333333
04-04-2020,2067,20,612,1455,0.97,29.61,1.044994944388271
04-05-2020,2169,23,674,1495,1.06,31.07,1.0493468795355587
04-06-2020,2220,26,793,1427,1.17,35.72,1.0235131396957122
04-07-2020,2258,27,824,1434,1.2,36.49,1.0171171171171172
04-08-2020,2369,30,888,1481,1.27,37.48,1.0491585473870682
04-09-2020,2423,32,940,1483,1.32,38.79,1.022794428028704
04-10-2020,2473,33,1013,1460,1.33,40.96,1.020635575732563
04-11-2020,2518,35,1135,1383,1.39,45.08,1.0181965224423777
04-12-2020,2551,38,1218,1333,1.49,47.75,1.0131056393963462
04-13-2020,2579,40,1288,1291,1.55,49.94,1.0109760878087024
04-14-2020,2613,41,1405,1208,1.57,53.77,1.0131834044203178
04-15-2020,2643,43,1497,1146,1.63,56.64,1.0114810562571757
04-16-2020,2672,46,1593,1079,1.72,59.62,1.0109723798713584
04-17-2020,2700,47,1689,1011,1.74,62.56,1.0104790419161676
04-18-2020,2733,47,1787,946,1.72,65.39,1.0122222222222221
04-19-2020,2765,47,1928,837,1.7,69.73,1.0117087449688986
04-20-2020,2792,47,1999,793,1.68,71.6,1.009764918625678
04-21-2020,2811,48,2108,703,1.71,74.99,1.0068051575931232
04-22-2020,2826,49,2352,474,1.73,83.23,1.0053361792956244
04-23-2020,2839,50,2430,409,1.76,85.59,1.0046001415428167
04-24-2020,2854,50,2490,364,1.75,87.25,1.005283550545967
04-25-2020,2907,51,2547,360,1.75,87.62,1.0185704274702172
04-26-2020,2922,51,2594,328,1.75,88.77,1.0051599587203301
04-27-2020,2931,52,2609,322,1.77,89.01,1.0030800821355237
04-28-2020,2938,54,2652,286,1.84,90.27,1.002388263391334
04-29-2020,2947,54,2665,282,1.83,90.43,1.003063308373043
04-30-2020,2954,54,2687,267,1.83,90.96,1.002375296912114
05-01-2020,2960,54,2719,241,1.82,91.86,1.002031144211239
05-02-2020,2966,54,2732,234,1.82,92.11,1.002027027027027
05-03-2020,2969,54,2739,230,1.82,92.25,1.0010114632501685
05-04-2020,2987,54,2740,247,1.81,91.73,1.0060626473560121
05-05-2020,2988,54,2747,241,1.81,91.93,1.0003347840642784
05-06-2020,2989,55,2761,228,1.84,92.37,1.000334672021419
05-07-2020,2992,55,2772,220,1.84,92.65,1.0010036801605888
05-08-2020,3000,55,2784,216,1.83,92.8,1.0026737967914439
05-09-2020,3004,56,2787,217,1.86,92.78,1.0013333333333334
05-10-2020,3009,56,2794,215,1.86,92.85,1.001664447403462
05-11-2020,3015,56,2796,219,1.86,92.74,1.0019940179461615
05-12-2020,3017,56,2798,219,1.86,92.74,1.0006633499170812
05-13-2020,3017,56,2844,173,1.86,94.27,1.0
05-14-2020,3018,56,2850,168,1.86,94.43,1.0003314550878355
05-15-2020,3025,56,2854,171,1.85,94.35,1.0023194168323393
05-16-2020,3025,56,2855,170,1.85,94.38,1.0
05-17-2020,3028,56,2856,172,1.85,94.32,1.00099173553719
05-18-2020,3031,56,2857,174,1.85,94.26,1.0009907529722588
05-19-2020,3033,56,2857,176,1.85,94.2,1.000659848234906
05-20-2020,3034,56,2888,146,1.85,95.19,1.0003297065611605
05-21-2020,3037,56,2897,140,1.84,95.39,1.0009887936717206
05-22-2020,3037,56,2910,127,1.84,95.82,1.0
05-23-2020,3040,56,2916,124,1.84,95.92,1.0009878169245967
05-24-2020,3040,56,2921,119,1.84,96.09,1.0
05-25-2020,3042,57,2928,114,1.87,96.25,1.000657894736842
05-26-2020,3045,57,2929,116,1.87,96.19,1.0009861932938855
05-27-2020,3054,57,2931,123,1.87,95.97,1.0029556650246305
05-28-2020,3065,57,2945,120,1.86,96.08,1.0036018336607728
05-29-2020,3076,57,2945,131,1.85,95.74,1.003588907014682
05-30-2020,3077,57,2961,116,1.85,96.23,1.0003250975292588
05-31-2020,3081,57,2963,118,1.85,96.17,1.0012999675008125
06-01-2020,3082,57,2965,117,1.85,96.2,1.000324569944823
06-02-2020,3083,58,2966,117,1.88,96.2,1.000324464633355
06-03-2020,3084,58,2968,116,1.88,96.24,1.0003243593902043
06-04-2020,3101,58,2968,133,1.87,95.71,1.0055123216601816
06-05-2020,3102,58,2971,131,1.87,95.78,1.000322476620445
06-06-2020,3104,58,2971,133,1.87,95.72,1.0006447453255964
06-07-2020,3112,58,2972,140,1.86,95.5,1.0025773195876289
06-08-2020,3119,58,2973,146,1.86,95.32,1.0022493573264781
06-09-2020,3121,58,2973,148,1.86,95.26,1.0006412311638346
06-10-2020,3125,58,2981,144,1.86,95.39,1.0012816404998397
06-11-2020,3125,58,2987,138,1.86,95.58,1.0
06-12-2020,3129,58,2987,142,1.85,95.46,1.00128
06-13-2020,3134,58,2987,147,1.85,95.31,1.0015979546180889
06-14-2020,3135,58,2987,148,1.85,95.28,1.0003190810465858
06-15-2020,3135,58,2987,148,1.85,95.28,1.0
06-16-2020,3135,58,2993,142,1.85,95.47,1.0
06-17-2020,3135,58,2996,139,1.85,95.57,1.0
06-18-2020,3141,58,2997,144,1.85,95.42,1.001913875598086
06-19-2020,3146,58,3008,138,1.84,95.61,1.0015918497293856
06-20-2020,3147,58,3018,129,1.84,95.9,1.0003178639542276
06-21-2020,3148,58,3018,130,1.84,95.87,1.0003177629488402
06-22-2020,3151,58,3022,129,1.84,95.91,1.0009529860228716
06-23-2020,3156,58,3023,133,1.84,95.79,1.001586797841955
06-24-2020,3157,58,3026,131,1.84,95.85,1.000316856780735
06-25-2020,3158,58,3038,120,1.84,96.2,1.0003167564143174
06-26-2020,3162,58,3040,122,1.83,96.14,1.001266624445852
06-27-2020,3162,58,3053,109,1.83,96.55,1.0
06-28-2020,3162,58,3053,109,1.83,96.55,1.0
06-29-2020,3169,58,3053,116,1.83,96.34,1.002213788741303
06-30-2020,3171,58,3056,115,1.83,96.37,1.0006311139160617
07-01-2020,3173,58,3059,114,1.83,96.41,1.0006307158625039
07-02-2020,3179,58,3059,120,1.82,96.23,1.0018909549322408
07-03-2020,3180,58,3066,114,1.82,96.42,1.0003145643284053
07-04-2020,3185,58,3066,119,1.82,96.26,1.001572327044025
07-05-2020,3190,58,3071,119,1.82,96.27,1.0015698587127158
07-06-2020,3195,58,3072,123,1.82,96.15,1.0015673981191222
07-07-2020,3195,58,3072,123,1.82,96.15,1.0
07-08-2020,3197,58,3074,123,1.81,96.15,1.000625978090767
07-09-2020,3202,58,3085,117,1.81,96.35,1.0015639662183298
07-10-2020,3202,58,3087,115,1.81,96.41,1.0
07-11-2020,3216,58,3088,128,1.8,96.02,1.004372267332917
07-12-2020,3217,58,3088,129,1.8,95.99,1.0003109452736318
07-13-2020,3220,58,3090,130,1.8,95.96,1.000932545850171
07-14-2020,3227,58,3091,136,1.8,95.79,1.0021739130434784
07-15-2020,3232,58,3092,140,1.79,95.67,1.0015494267121166
07-16-2020,3236,58,3095,141,1.79,95.64,1.0012376237623761
07-17-2020,3239,58,3096,143,1.79,95.59,1.0009270704573547
07-18-2020,3246,58,3096,150,1.79,95.38,1.0021611608521148
07-19-2020,3249,58,3096,153,1.79,95.29,1.0009242144177448
07-20-2020,3250,58,3096,154,1.78,95.26,1.0003077870113881
07-21-2020,3255,58,3105,150,1.78,95.39,1.0015384615384615
07-22-2020,3261,58,3105,156,1.78,95.22,1.0018433179723503
07-23-2020,3269,58,3105,164,1.77,94.98,1.0024532352039253
07-24-2020,3279,58,3107,172,1.77,94.75,1.003059039461609
07-25-2020,3282,58,3109,173,1.77,94.73,1.000914913083257
07-26-2020,3291,58,3109,182,1.76,94.47,1.0027422303473492
07-27-2020,3295,58,3111,184,1.76,94.42,1.0012154360376786
07-28-2020,3297,58,3111,186,1.76,94.36,1.0006069802731412
07-29-2020,3298,58,3111,187,1.76,94.33,1.0003033060357902
07-30-2020,3304,58,3111,193,1.76,94.16,1.0018192844147968
07-31-2020,3310,58,3125,185,1.75,94.41,1.00181598062954
08-01-2020,3312,58,3135,177,1.75,94.66,1.0006042296072508
