date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-06-2020,1,0,0,1,0,0,1
03-07-2020,1,0,0,1,0,0,1.0
03-08-2020,1,0,0,1,0,0,1.0
03-09-2020,1,0,0,1,0,0,1.0
03-10-2020,1,0,0,1,0,0,1.0
03-11-2020,1,0,0,1,0,0,1.0
03-12-2020,1,0,0,1,0,0,1.0
03-13-2020,1,0,0,1,0,0,1.0
03-14-2020,1,0,0,1,0,0,1.0
03-15-2020,1,0,0,1,0,0,1.0
03-16-2020,1,0,0,1,0,0,1.0
03-17-2020,1,0,0,1,0,0,1.0
03-18-2020,1,0,0,1,0,0,1.0
03-19-2020,1,0,0,1,0,0,1.0
03-20-2020,9,0,1,8,0,11.11,9.0
03-21-2020,16,0,1,15,0,6.25,1.7777777777777777
03-22-2020,16,0,0,16,0,0,1.0
03-23-2020,18,0,0,18,0,0,1.125
03-24-2020,20,0,1,19,0,5.0,1.1111111111111112
03-25-2020,23,0,1,22,0,4.35,1.15
03-26-2020,23,0,1,22,0,4.35,1.0
03-27-2020,25,1,1,24,4.0,4.0,1.0869565217391304
03-28-2020,25,1,1,24,4.0,4.0,1.0
03-29-2020,25,1,1,24,4.0,4.0,1.0
03-30-2020,30,1,1,29,3.33,3.33,1.2
03-31-2020,34,1,10,24,2.94,29.41,1.1333333333333333
04-01-2020,36,2,10,26,5.56,27.78,1.0588235294117647
04-02-2020,39,2,17,22,5.13,43.59,1.0833333333333333
04-03-2020,40,3,17,23,7.5,42.5,1.0256410256410255
04-04-2020,41,3,17,24,7.32,41.46,1.025
04-05-2020,44,3,20,24,6.82,45.45,1.0731707317073171
04-06-2020,58,3,23,35,5.17,39.66,1.3181818181818181
04-07-2020,65,3,23,42,4.62,35.38,1.1206896551724137
04-08-2020,70,3,23,47,4.29,32.86,1.0769230769230769
04-09-2020,73,3,24,49,4.11,32.88,1.042857142857143
04-10-2020,76,3,25,51,3.95,32.89,1.0410958904109588
04-11-2020,76,3,25,51,3.95,32.89,1.0
04-12-2020,76,3,29,47,3.95,38.16,1.0
04-13-2020,77,3,29,48,3.9,37.66,1.013157894736842
04-14-2020,77,3,32,45,3.9,41.56,1.0
04-15-2020,81,3,35,46,3.7,43.21,1.051948051948052
04-16-2020,81,5,45,36,6.17,55.56,1.0
04-17-2020,83,5,48,35,6.02,57.83,1.0246913580246915
04-18-2020,84,5,49,35,5.95,58.33,1.0120481927710843
04-19-2020,84,5,52,32,5.95,61.9,1.0
04-20-2020,84,6,53,31,7.14,63.1,1.0
04-21-2020,86,6,56,30,6.98,65.12,1.0238095238095237
04-22-2020,88,6,56,32,6.82,63.64,1.0232558139534884
04-23-2020,88,6,59,29,6.82,67.05,1.0
04-24-2020,90,6,59,31,6.67,65.56,1.0227272727272727
04-25-2020,96,6,62,34,6.25,64.58,1.0666666666666667
04-26-2020,98,6,62,36,6.12,63.27,1.0208333333333333
04-27-2020,98,6,62,36,6.12,63.27,1.0
04-28-2020,99,6,63,36,6.06,63.64,1.010204081632653
04-29-2020,109,7,64,45,6.42,58.72,1.101010101010101
04-30-2020,116,9,65,51,7.76,56.03,1.0642201834862386
05-01-2020,123,9,66,57,7.32,53.66,1.0603448275862069
05-02-2020,123,9,66,57,7.32,53.66,1.0
05-03-2020,124,9,67,57,7.26,54.03,1.008130081300813
05-04-2020,126,9,74,52,7.14,58.73,1.0161290322580645
05-05-2020,128,9,74,54,7.03,57.81,1.0158730158730158
05-06-2020,128,9,77,51,7.03,60.16,1.0
05-07-2020,135,9,85,50,6.67,62.96,1.0546875
05-08-2020,145,10,85,60,6.9,58.62,1.074074074074074
05-09-2020,153,10,87,66,6.54,56.86,1.0551724137931036
05-10-2020,174,11,89,85,6.32,51.15,1.1372549019607843
05-11-2020,181,11,89,92,6.08,49.17,1.0402298850574712
05-12-2020,199,11,92,107,5.53,46.23,1.0994475138121547
05-13-2020,219,11,96,123,5.02,43.84,1.100502512562814
05-14-2020,238,11,96,142,4.62,40.34,1.08675799086758
05-15-2020,263,11,96,167,4.18,36.5,1.1050420168067228
05-16-2020,298,11,99,199,3.69,33.22,1.1330798479087452
05-17-2020,301,11,104,197,3.65,34.55,1.0100671140939597
05-18-2020,330,12,106,224,3.64,32.12,1.0963455149501662
05-19-2020,338,12,107,231,3.55,31.66,1.0242424242424242
05-20-2020,340,12,110,230,3.53,32.35,1.0059171597633136
05-21-2020,354,12,118,236,3.39,33.33,1.0411764705882354
05-22-2020,363,12,121,242,3.31,33.33,1.0254237288135593
05-23-2020,373,12,133,240,3.22,35.66,1.0275482093663912
05-24-2020,381,12,141,240,3.15,37.01,1.0214477211796247
05-25-2020,386,13,161,225,3.37,41.71,1.0131233595800524
05-26-2020,391,13,177,214,3.32,45.27,1.0129533678756477
05-27-2020,395,13,183,212,3.29,46.33,1.010230179028133
05-28-2020,422,13,197,225,3.08,46.68,1.0683544303797468
05-29-2020,428,13,202,226,3.04,47.2,1.014218009478673
05-30-2020,433,13,206,227,3.0,47.58,1.0116822429906542
05-31-2020,442,13,211,231,2.94,47.74,1.0207852193995381
06-01-2020,443,13,215,228,2.93,48.53,1.002262443438914
06-02-2020,445,13,230,215,2.92,51.69,1.0045146726862302
06-03-2020,452,13,236,216,2.88,52.21,1.0157303370786517
06-04-2020,465,13,239,226,2.8,51.4,1.0287610619469028
06-05-2020,485,13,240,245,2.68,49.48,1.043010752688172
06-06-2020,487,13,240,247,2.67,49.28,1.0041237113402062
06-07-2020,495,13,248,247,2.63,50.1,1.0164271047227926
06-08-2020,497,13,251,246,2.62,50.5,1.004040404040404
06-09-2020,501,13,260,241,2.59,51.9,1.0080482897384306
06-10-2020,522,13,265,257,2.49,50.77,1.0419161676646707
06-11-2020,524,13,271,253,2.48,51.72,1.003831417624521
06-12-2020,525,13,279,246,2.48,53.14,1.001908396946565
06-13-2020,530,13,291,239,2.45,54.91,1.0095238095238095
06-14-2020,530,13,291,239,2.45,54.91,1.0
06-15-2020,531,13,299,232,2.45,56.31,1.0018867924528303
06-16-2020,537,13,344,193,2.42,64.06,1.0112994350282485
06-17-2020,544,13,353,191,2.39,64.89,1.0130353817504656
06-18-2020,547,13,353,194,2.38,64.53,1.005514705882353
06-19-2020,555,13,361,194,2.34,65.05,1.0146252285191957
06-20-2020,561,13,366,195,2.32,65.24,1.0108108108108107
06-21-2020,569,13,375,194,2.28,65.91,1.014260249554367
06-22-2020,569,13,380,189,2.28,66.78,1.0
06-23-2020,576,13,384,192,2.26,66.67,1.0123022847100176
06-24-2020,583,14,392,191,2.4,67.24,1.0121527777777777
06-25-2020,588,14,394,194,2.38,67.01,1.0085763293310464
06-26-2020,591,14,395,196,2.37,66.84,1.0051020408163265
06-27-2020,615,14,396,219,2.28,64.39,1.0406091370558375
06-28-2020,642,14,401,241,2.18,62.46,1.0439024390243903
06-29-2020,643,14,401,242,2.18,62.36,1.0015576323987538
06-30-2020,650,14,402,248,2.15,61.85,1.010886469673406
07-01-2020,661,14,414,247,2.12,62.63,1.0169230769230768
