date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-04-2020,1,0,0,1,0.0,0.0,1
03-05-2020,1,0,0,1,0.0,0.0,1.0
03-06-2020,1,0,0,1,0.0,0.0,1.0
03-07-2020,1,0,0,1,0.0,0.0,1.0
03-08-2020,2,0,0,2,0.0,0.0,2.0
03-09-2020,2,0,0,2,0.0,0.0,1.0
03-10-2020,5,0,0,5,0.0,0.0,2.5
03-11-2020,7,0,0,7,0.0,0.0,1.4
03-12-2020,7,0,0,7,0.0,0.0,1.0
03-13-2020,16,0,0,16,0.0,0.0,2.2857142857142856
03-14-2020,18,0,0,18,0.0,0.0,1.125
03-15-2020,18,0,0,18,0.0,0.0,1.0
03-16-2020,20,0,0,20,0.0,0.0,1.1111111111111112
03-17-2020,24,0,0,24,0.0,0.0,1.2
03-18-2020,29,0,0,29,0.0,0.0,1.2083333333333333
03-19-2020,39,1,0,39,2.56,0.0,1.3448275862068966
03-20-2020,54,1,0,54,1.85,0.0,1.3846153846153846
03-21-2020,60,1,0,60,1.67,0.0,1.1111111111111112
03-22-2020,75,3,1,74,4.0,1.33,1.25
03-23-2020,89,3,1,88,3.37,1.12,1.1866666666666668
03-24-2020,114,4,1,113,3.51,0.88,1.2808988764044944
03-25-2020,173,5,2,171,2.89,1.16,1.5175438596491229
03-26-2020,197,6,2,195,3.05,1.02,1.138728323699422
03-27-2020,227,6,2,225,2.64,0.88,1.1522842639593909
03-28-2020,278,8,2,276,2.88,0.72,1.224669603524229
03-29-2020,312,8,2,310,2.56,0.64,1.1223021582733812
03-30-2020,312,8,3,309,2.56,0.96,1.0
03-31-2020,394,10,3,391,2.54,0.76,1.2628205128205128
04-01-2020,423,12,5,418,2.84,1.18,1.0736040609137056
04-02-2020,455,14,5,450,3.08,1.1,1.0756501182033098
04-03-2020,495,18,5,490,3.64,1.01,1.0879120879120878
04-04-2020,553,18,5,548,3.25,0.9,1.1171717171717173
04-05-2020,574,22,5,569,3.83,0.87,1.0379746835443038
04-06-2020,596,22,5,591,3.69,0.84,1.038327526132404
04-07-2020,623,23,25,598,3.69,4.01,1.0453020134228188
04-08-2020,628,24,25,603,3.82,3.98,1.0080256821829856
04-09-2020,643,25,25,618,3.89,3.89,1.0238853503184713
04-10-2020,671,25,25,646,3.73,3.73,1.0435458786936236
04-11-2020,685,28,43,642,4.09,6.28,1.0208643815201193
04-12-2020,707,31,43,664,4.38,6.08,1.032116788321168
04-13-2020,726,34,43,683,4.68,5.92,1.0268741159830268
04-14-2020,747,34,43,704,4.55,5.76,1.0289256198347108
04-15-2020,780,35,43,737,4.49,5.51,1.0441767068273093
04-16-2020,822,37,43,779,4.5,5.23,1.0538461538461539
04-17-2020,864,37,43,821,4.28,4.98,1.051094890510949
04-18-2020,864,37,43,821,4.28,4.98,1.0
04-19-2020,879,38,43,836,4.32,4.89,1.0173611111111112
04-20-2020,884,38,148,736,4.3,16.74,1.005688282138794
04-21-2020,884,38,148,736,4.3,16.74,1.0
04-22-2020,909,38,190,719,4.18,20.9,1.0282805429864252
04-23-2020,918,38,190,728,4.14,20.7,1.00990099009901
04-24-2020,922,38,194,728,4.12,21.04,1.0043572984749456
04-25-2020,939,38,207,732,4.05,22.04,1.0184381778741864
04-26-2020,949,38,216,733,4.0,22.76,1.0106496272630459
04-27-2020,967,39,279,688,4.03,28.85,1.0189673340358272
04-28-2020,975,40,279,696,4.1,28.62,1.0082730093071355
04-29-2020,980,40,294,686,4.08,30.0,1.005128205128205
04-30-2020,994,41,305,689,4.12,30.68,1.0142857142857142
05-01-2020,998,41,316,682,4.11,31.66,1.0040241448692153
05-02-2020,1009,42,323,686,4.16,32.01,1.0110220440881763
05-03-2020,1013,42,328,685,4.15,32.38,1.00396432111001
05-04-2020,1018,43,406,612,4.22,39.88,1.0049358341559724
05-05-2020,1022,43,482,540,4.21,47.16,1.0039292730844793
05-06-2020,1025,43,591,434,4.2,57.66,1.0029354207436398
05-07-2020,1026,44,600,426,4.29,58.48,1.0009756097560976
05-08-2020,1030,45,638,392,4.37,61.94,1.003898635477583
05-09-2020,1032,45,660,372,4.36,63.95,1.0019417475728156
05-10-2020,1032,45,700,332,4.36,67.83,1.0
05-11-2020,1032,45,727,305,4.36,70.45,1.0
05-12-2020,1032,45,740,292,4.36,71.71,1.0
05-13-2020,1032,45,759,273,4.36,73.55,1.0
05-14-2020,1032,45,770,262,4.36,74.61,1.0
05-15-2020,1035,45,802,233,4.35,77.49,1.002906976744186
05-16-2020,1037,45,807,230,4.34,77.82,1.0019323671497584
05-17-2020,1037,45,816,221,4.34,78.69,1.0
05-18-2020,1043,46,819,224,4.41,78.52,1.0057859209257474
05-19-2020,1044,47,826,218,4.5,79.12,1.0009587727708533
05-20-2020,1045,47,862,183,4.5,82.49,1.0009578544061302
05-21-2020,1046,47,883,163,4.49,84.42,1.000956937799043
05-22-2020,1048,47,903,145,4.48,86.16,1.0019120458891013
05-23-2020,1048,48,914,134,4.58,87.21,1.0
05-24-2020,1051,48,917,134,4.57,87.25,1.0028625954198473
05-25-2020,1051,48,919,132,4.57,87.44,1.0
05-26-2020,1051,48,929,122,4.57,88.39,1.0
05-27-2020,1051,48,929,122,4.57,88.39,1.0
05-28-2020,1068,48,938,130,4.49,87.83,1.016175071360609
05-29-2020,1071,48,946,125,4.48,88.33,1.002808988764045
05-30-2020,1076,48,950,126,4.46,88.29,1.0046685340802988
05-31-2020,1077,48,960,117,4.46,89.14,1.0009293680297398
06-01-2020,1084,48,964,120,4.43,88.93,1.0064995357474467
06-02-2020,1086,48,965,121,4.42,88.86,1.0018450184501846
06-03-2020,1087,49,965,122,4.51,88.78,1.0009208103130756
06-04-2020,1087,49,968,119,4.51,89.05,1.0
06-05-2020,1087,49,969,118,4.51,89.14,1.0
06-06-2020,1087,49,977,110,4.51,89.88,1.0
06-07-2020,1087,49,982,105,4.51,90.34,1.0
06-08-2020,1087,49,982,105,4.51,90.34,1.0
06-09-2020,1087,49,982,105,4.51,90.34,1.0
06-10-2020,1087,49,983,104,4.51,90.43,1.0
06-11-2020,1087,49,989,98,4.51,90.98,1.0
06-12-2020,1093,49,995,98,4.48,91.03,1.0055197792088317
06-13-2020,1094,49,995,99,4.48,90.95,1.000914913083257
06-14-2020,1096,49,998,98,4.47,91.06,1.0018281535648994
06-15-2020,1110,49,999,111,4.41,90.0,1.0127737226277371
06-16-2020,1125,49,1002,123,4.36,89.07,1.0135135135135136
06-17-2020,1128,50,1004,124,4.43,89.01,1.0026666666666666
06-18-2020,1132,50,1006,126,4.42,88.87,1.00354609929078
06-19-2020,1146,50,1014,132,4.36,88.48,1.0123674911660778
