date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-22-2020,0,0,0,0,0,0,1
01-23-2020,0,0,0,0,0,0,1
01-24-2020,0,0,0,0,0,0,1
01-25-2020,0,0,0,0,0,0,1
01-26-2020,0,0,0,0,0,0,1
01-27-2020,0,0,0,0,0,0,1
01-28-2020,0,0,0,0,0,0,1
01-29-2020,0,0,0,0,0,0,1
01-30-2020,0,0,0,0,0,0,1
01-31-2020,0,0,0,0,0,0,1
02-01-2020,0,0,0,0,0,0,1
02-02-2020,0,0,0,0,0,0,1
02-03-2020,0,0,0,0,0,0,1
02-04-2020,0,0,0,0,0,0,1
02-05-2020,0,0,0,0,0,0,1
02-06-2020,0,0,0,0,0,0,1
02-07-2020,0,0,0,0,0,0,1
02-08-2020,0,0,0,0,0,0,1
02-09-2020,0,0,0,0,0,0,1
02-10-2020,0,0,0,0,0,0,1
02-11-2020,0,0,0,0,0,0,1
02-12-2020,0,0,0,0,0,0,1
02-13-2020,0,0,0,0,0,0,1
02-14-2020,0,0,0,0,0,0,1
02-15-2020,0,0,0,0,0,0,1
02-16-2020,0,0,0,0,0,0,1
02-17-2020,0,0,0,0,0,0,1
02-18-2020,0,0,0,0,0,0,1
02-19-2020,0,0,0,0,0,0,1
02-20-2020,0,0,0,0,0,0,1
02-21-2020,0,0,0,0,0,0,1
02-22-2020,0,0,0,0,0,0,1
02-23-2020,0,0,0,0,0,0,1
02-24-2020,0,0,0,0,0,0,1
02-25-2020,0,0,0,0,0,0,1
02-26-2020,0,0,0,0,0,0,1
02-27-2020,0,0,0,0,0,0,1
02-28-2020,0,0,0,0,0,0,1
02-29-2020,0,0,0,0,0,0,1
03-01-2020,0,0,0,0,0,0,1
03-02-2020,0,0,0,0,0,0,1
03-03-2020,1,0,0,1,0,0,1
03-04-2020,1,0,0,1,0,0,1.0
03-05-2020,1,0,0,1,0,0,1.0
03-06-2020,1,0,0,1,0,0,1.0
03-07-2020,1,0,0,1,0,0,1.0
03-08-2020,1,0,0,1,0,0,1.0
03-09-2020,1,0,0,1,0,0,1.0
03-10-2020,1,0,0,1,0,0,1.0
03-11-2020,1,0,0,1,0,0,1.0
03-12-2020,1,0,0,1,0,0,1.0
03-13-2020,3,1,0,3,33.33,0,3.0
03-14-2020,3,1,0,3,33.33,0,1.0
03-15-2020,3,1,0,3,33.33,0,1.0
03-16-2020,7,1,0,7,14.29,0,2.333333333333333
03-17-2020,14,2,0,14,14.29,0,2.0
03-18-2020,14,2,0,14,14.29,0,1.0
03-19-2020,16,2,0,16,12.5,0,1.1428571428571428
03-20-2020,29,3,0,29,10.34,0,1.8125
03-21-2020,47,3,1,46,6.38,2.13,1.6206896551724137
03-22-2020,73,3,1,72,4.11,1.37,1.5531914893617023
03-23-2020,73,3,1,72,4.11,1.37,1.0
03-24-2020,97,3,1,96,3.09,1.03,1.3287671232876712
03-25-2020,145,5,1,144,3.45,0.69,1.4948453608247423
03-26-2020,196,5,1,195,2.55,0.51,1.3517241379310345
03-27-2020,310,5,5,305,1.61,1.61,1.5816326530612246
03-28-2020,356,9,5,351,2.53,1.4,1.1483870967741936
03-29-2020,475,10,6,469,2.11,1.26,1.3342696629213484
03-30-2020,548,13,8,540,2.37,1.46,1.1536842105263159
03-31-2020,645,17,10,635,2.64,1.55,1.177007299270073
04-01-2020,794,20,13,781,2.52,1.64,1.2310077519379845
04-02-2020,897,22,19,878,2.45,2.12,1.1297229219143576
04-03-2020,1072,27,22,1050,2.52,2.05,1.1950947603121516
04-04-2020,1225,32,25,1200,2.61,2.04,1.142723880597015
04-05-2020,1308,37,28,1280,2.83,2.14,1.0677551020408163
04-06-2020,1319,38,28,1291,2.88,2.12,1.0084097859327217
04-07-2020,1462,45,28,1434,3.08,1.92,1.10841546626232
04-08-2020,1668,52,35,1633,3.12,2.1,1.1409028727770179
04-09-2020,1892,57,45,1847,3.01,2.38,1.1342925659472423
04-10-2020,2203,69,61,2142,3.13,2.77,1.1643763213530656
04-11-2020,2511,73,79,2432,2.91,3.15,1.1398093508851566
04-12-2020,2777,83,89,2688,2.99,3.2,1.1059338908801275
04-13-2020,3102,93,97,3005,3.0,3.13,1.1170327691753692
04-14-2020,3372,98,119,3253,2.91,3.53,1.0870406189555126
04-15-2020,3764,108,143,3621,2.87,3.8,1.1162514827995256
04-16-2020,4161,116,186,3975,2.79,4.47,1.1054729011689692
04-17-2020,4662,125,246,4416,2.68,5.28,1.1204037490987744
04-18-2020,5106,133,275,4831,2.6,5.39,1.0952380952380953
04-19-2020,5449,141,347,5102,2.59,6.37,1.0671758715236976
04-20-2020,5710,151,359,5351,2.64,6.29,1.0478986970086255
04-21-2020,6125,161,367,5758,2.63,5.99,1.0726795096322241
04-22-2020,6592,174,424,6168,2.64,6.43,1.0762448979591837
04-23-2020,7170,187,504,6666,2.61,7.03,1.0876820388349515
04-24-2020,7647,193,601,7046,2.52,7.86,1.0665271966527197
04-25-2020,8125,201,782,7343,2.47,9.62,1.0625081731397934
04-26-2020,8617,209,840,7777,2.43,9.75,1.0605538461538462
04-27-2020,9009,220,864,8145,2.44,9.59,1.0454914703493094
04-28-2020,9410,239,992,8418,2.54,10.54,1.0445110445110446
04-29-2020,9866,250,1103,8763,2.53,11.18,1.0484590860786398
04-30-2020,10406,261,1238,9168,2.51,11.9,1.05473342793432
05-01-2020,10861,272,1413,9448,2.5,13.01,1.0437247741687488
05-02-2020,11411,279,1498,9913,2.45,13.13,1.0506399042445447
05-03-2020,11913,288,1548,10365,2.42,12.99,1.0439926386819736
05-04-2020,12331,303,1619,10712,2.46,13.13,1.0350877192982457
05-05-2020,12697,316,1875,10822,2.49,14.77,1.0296812910550646
05-06-2020,13184,327,2097,11087,2.48,15.91,1.038355517051272
05-07-2020,13691,340,2396,11295,2.48,17.5,1.0384557038834952
05-08-2020,14195,361,2706,11489,2.54,19.06,1.0368125045650427
05-09-2020,14710,376,2909,11801,2.56,19.78,1.0362803804156393
05-10-2020,15232,391,3060,12172,2.57,20.09,1.0354860639021075
05-11-2020,15648,408,3288,12360,2.61,21.01,1.0273109243697478
05-12-2020,16023,425,3373,12650,2.65,21.05,1.0239647239263803
05-13-2020,16425,439,3716,12709,2.67,22.62,1.0250889346564314
05-14-2020,16847,456,4143,12704,2.71,24.59,1.0256925418569254
05-15-2020,17330,476,4473,12857,2.75,25.81,1.0286697928414554
05-16-2020,17858,497,4906,12952,2.78,27.47,1.0304673975764571
05-17-2020,18291,514,5116,13175,2.81,27.97,1.0242468361518646
05-18-2020,18616,535,5276,13340,2.87,28.34,1.0177683013503909
05-19-2020,18876,548,5632,13244,2.9,29.84,1.0139664804469273
05-20-2020,19230,564,5955,13275,2.93,30.97,1.0187539732994277
05-21-2020,19706,579,6227,13479,2.94,31.6,1.0247529901196049
05-22-2020,20148,588,6585,13563,2.92,32.68,1.0224297168375114
05-23-2020,20580,605,6929,13651,2.94,33.67,1.0214413341274569
05-24-2020,20986,617,7108,13878,2.94,33.87,1.0197278911564627
05-25-2020,21245,623,7234,14011,2.93,34.05,1.0123415610406938
05-26-2020,21584,644,7575,14009,2.98,35.1,1.0159566956931043
05-27-2020,21905,658,7995,13910,3.0,36.5,1.0148721275018533
05-28-2020,22382,669,8439,13943,2.99,37.7,1.0217758502624972
05-29-2020,22811,679,8934,13877,2.98,39.17,1.0191671879188633
05-30-2020,23204,696,9311,13893,3.0,40.13,1.0172285300951296
05-31-2020,23672,708,9538,14134,2.99,40.29,1.0201689363902775
06-01-2020,24562,724,10053,14509,2.95,40.93,1.0375971612031092
06-02-2020,24895,733,10461,14434,2.94,42.02,1.0135575278886084
06-03-2020,25385,742,10838,14547,2.92,42.69,1.0196826672022494
06-04-2020,25981,755,11468,14513,2.91,44.14,1.0234784321449675
06-05-2020,26542,770,11815,14727,2.9,44.51,1.0215927023594165
06-06-2020,27101,785,12265,14836,2.9,45.26,1.0210609599879437
06-07-2020,27599,796,12513,15086,2.88,45.34,1.0183757056935168
06-08-2020,28077,805,12657,15420,2.87,45.08,1.0173194680966702
06-09-2020,28479,818,12892,15587,2.87,45.27,1.0143177689924137
06-10-2020,29015,841,13257,15758,2.9,45.69,1.0188208855648022
06-11-2020,29706,864,13642,16064,2.91,45.92,1.0238152679648458
06-12-2020,30415,880,14075,16340,2.89,46.28,1.0238672322089815
06-13-2020,31177,890,14489,16688,2.85,46.47,1.0250534275850731
06-14-2020,31851,899,14596,17255,2.82,45.83,1.0216185008179106
06-15-2020,32536,911,14771,17765,2.8,45.4,1.0215063891243603
06-16-2020,33209,922,15054,18155,2.78,45.33,1.0206847799360708
06-17-2020,33986,953,15485,18501,2.8,45.56,1.023397271823903
06-18-2020,34833,976,16001,18832,2.8,45.94,1.0249220267168835
06-19-2020,35755,995,16588,19167,2.78,46.39,1.0264691528148595
06-20-2020,36615,1004,16974,19641,2.74,46.36,1.024052580058733
06-21-2020,37361,1012,17078,20283,2.71,45.71,1.0203741635941554
06-22-2020,38056,1022,17211,20845,2.69,45.23,1.0186022858060544
06-23-2020,38901,1045,17538,21363,2.69,45.08,1.0222041202438512
06-24-2020,39852,1061,18009,21843,2.66,45.19,1.0244466723220482
06-25-2020,40854,1078,18365,22489,2.64,44.95,1.0251430292080699
06-26-2020,41975,1097,18927,23048,2.61,45.09,1.0274391736427277
06-27-2020,42932,1121,19350,23582,2.61,45.07,1.0227992852888623
06-28-2020,43856,1142,19585,24271,2.6,44.66,1.0215224075281841
06-29-2020,44538,1161,19679,24859,2.61,44.18,1.015550893834367
06-30-2020,45254,1173,19792,25462,2.59,43.74,1.0160761596838654
07-01-2020,45924,1188,20244,25680,2.59,44.08,1.01480532107659
07-02-2020,46821,1200,20755,26066,2.56,44.33,1.0195322707081265
07-03-2020,47705,1227,21296,26409,2.57,44.64,1.0188804169069434
07-04-2020,48628,1243,21907,26721,2.56,45.05,1.0193480767215177
07-05-2020,49468,1265,22131,27337,2.56,44.74,1.0172739985193715
07-06-2020,50053,1278,22462,27591,2.55,44.88,1.0118258267971214
07-07-2020,50622,1299,22970,27652,2.57,45.38,1.0113679499730286
07-08-2020,51457,1323,23912,27545,2.57,46.47,1.0164948046303979
07-09-2020,52285,1344,24606,27679,2.57,47.06,1.0160911051946284
07-10-2020,53116,1362,25634,27482,2.56,48.26,1.0158936597494501
07-11-2020,53941,1389,26513,27428,2.58,49.15,1.0155320430755328
07-12-2020,54647,1400,26971,27676,2.56,49.35,1.0130883743349215
07-13-2020,55285,1415,27356,27929,2.56,49.48,1.0116749318352334
07-14-2020,55931,1429,28021,27910,2.55,50.1,1.011684905489735
07-15-2020,56779,1444,29005,27774,2.54,51.08,1.0151615383240065
07-16-2020,57640,1462,29822,27818,2.54,51.74,1.0151640571337994
07-17-2020,58466,1473,30675,27791,2.52,52.47,1.0143303261623873
07-18-2020,59333,1496,31479,27854,2.52,53.05,1.01482913146102
07-19-2020,60077,1504,31836,28241,2.5,52.99,1.0125393962887432
07-20-2020,60767,1517,32397,28370,2.5,53.31,1.0114852605822529
07-21-2020,61454,1537,33186,28268,2.5,54.0,1.011305478302368
07-22-2020,62295,1553,34176,28119,2.49,54.86,1.013685032707391
07-23-2020,63169,1570,35035,28134,2.49,55.46,1.0140300184605506
07-24-2020,64173,1591,35932,28241,2.48,55.99,1.0158938719941744
07-25-2020,65317,1610,36573,28744,2.46,55.99,1.0178268118990852
07-26-2020,66261,1625,36885,29376,2.45,55.67,1.0144525927400216
07-27-2020,67096,1636,37202,29894,2.44,55.45,1.0126016812302863
07-28-2020,68030,1650,37852,30178,2.43,55.64,1.0139203529271492
07-29-2020,69078,1673,38523,30555,2.42,55.77,1.0154049683962958
07-30-2020,70300,1697,39327,30973,2.41,55.94,1.01769014736964
07-31-2020,71404,1717,39945,31459,2.4,55.94,1.0157041251778094
08-01-2020,72609,1733,40516,32093,2.39,55.8,1.0168758052770153
08-02-2020,73761,1749,40755,33006,2.37,55.25,1.0158658017601123
08-03-2020,74781,1762,41097,33684,2.36,54.96,1.0138284459267093
08-04-2020,75880,1788,41849,34031,2.36,55.15,1.0146962463727418
08-05-2020,77169,1813,42784,34385,2.35,55.44,1.016987348444913
08-06-2020,78515,1846,43812,34703,2.35,55.8,1.0174422371677747
08-07-2020,80018,1879,44369,35649,2.35,55.45,1.0191428389479718
08-08-2020,81534,1906,45006,36528,2.34,55.2,1.018945737209128
08-09-2020,82767,1925,45335,37432,2.33,54.77,1.0151225255721539
08-10-2020,83812,1950,45723,38089,2.33,54.55,1.01262580497058
08-11-2020,85023,1979,46313,38710,2.33,54.47,1.014449004915764
08-12-2020,86504,1999,47084,39420,2.31,54.43,1.0174188160850592
08-13-2020,88136,2023,47678,40458,2.3,54.1,1.0188661795986313
08-14-2020,89917,2042,48288,41629,2.27,53.7,1.0202074067350457
08-15-2020,91795,2076,48946,42849,2.26,53.32,1.0208859281337233
08-16-2020,93490,2100,49346,44144,2.25,52.78,1.0184650580096954
08-17-2020,95007,2122,49692,45315,2.23,52.3,1.016226334367312
08-18-2020,96653,2152,50508,46145,2.23,52.26,1.0173250392076374
08-19-2020,98658,2182,51358,47300,2.21,52.06,1.0207443121268869
08-20-2020,100810,2225,52086,48724,2.21,51.67,1.0218127267935697
08-21-2020,102948,2248,52769,50179,2.18,51.26,1.0212082134708858
08-22-2020,105337,2286,53458,51879,2.17,50.75,1.0232058903524108
08-23-2020,107379,2313,53968,53411,2.15,50.26,1.0193854011410994
08-24-2020,109234,2335,54262,54972,2.14,49.68,1.0172752586632396
08-25-2020,110949,2362,54657,56292,2.13,49.26,1.0157002398520607
08-26-2020,112653,2399,55327,57326,2.13,49.11,1.0153584079171512
08-27-2020,114663,2449,56149,58514,2.14,48.97,1.017842401001305
08-28-2020,117172,2499,57051,60121,2.13,48.69,1.0218815136530528
08-29-2020,119751,2540,58156,61595,2.12,48.56,1.0220103779059844
08-30-2020,121930,2575,58775,63155,2.11,48.2,1.018196090220541
08-31-2020,124132,2605,59162,64970,2.1,47.66,1.0180595423603707
09-01-2020,126279,2654,59904,66375,2.1,47.44,1.0172961041471982
09-02-2020,128833,2705,60943,67890,2.1,47.3,1.0202250572145803
