date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-11-2020,459,8,19,440,1.74,4.14,0
03-12-2020,459,8,19,440,1.74,4.14,0.0
03-13-2020,801,8,19,782,1.0,2.37,0.7450980392156863
03-14-2020,1143,21,19,1124,1.84,1.66,0.42696629213483145
03-15-2020,1144,21,19,1125,1.84,1.66,0.0008748906386701663
03-16-2020,1551,56,21,1530,3.61,1.35,0.3557692307692308
03-17-2020,1960,56,53,1907,2.86,2.7,0.26370083816892326
03-18-2020,2642,72,67,2575,2.73,2.54,0.3479591836734694
03-19-2020,2716,138,67,2649,5.08,2.47,0.028009084027252083
03-20-2020,4014,178,67,3947,4.43,1.67,0.47790868924889546
03-21-2020,5067,234,67,5000,4.62,1.32,0.2623318385650224
03-22-2020,5741,282,95,5646,4.91,1.65,0.13301756463390565
03-23-2020,6726,336,140,6586,5.0,2.08,0.1715728967078906
03-24-2020,8164,423,140,8024,5.18,1.71,0.21379720487659828
03-25-2020,9640,466,140,9500,4.83,1.45,0.1807937285644292
03-26-2020,11812,580,150,11662,4.91,1.27,0.22531120331950208
03-27-2020,14745,761,151,14594,5.16,1.02,0.248306806637318
03-28-2020,17312,1021,151,17161,5.9,0.87,0.17409291285181416
03-29-2020,19780,1231,151,19629,6.22,0.76,0.14256007393715342
03-30-2020,22453,1411,171,22282,6.28,0.76,0.13513650151668352
03-31-2020,25481,1793,179,25302,7.04,0.7,0.13485948425600142
04-01-2020,29865,2357,179,29686,7.89,0.6,0.17204976256818807
04-02-2020,34173,2926,192,33981,8.56,0.56,0.14424912104470117
