date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,4,0,0,4,0.0,0.0,0
03-15-2020,4,0,0,4,0.0,0.0,0.0
03-16-2020,8,0,0,8,0.0,0.0,1.0
03-17-2020,29,0,0,29,0.0,0.0,2.625
03-18-2020,50,0,0,50,0.0,0.0,0.7241379310344828
03-19-2020,79,0,0,79,0.0,0.0,0.58
03-20-2020,94,0,0,94,0.0,0.0,0.189873417721519
03-21-2020,110,0,0,110,0.0,0.0,0.1702127659574468
03-22-2020,135,0,0,135,0.0,0.0,0.22727272727272727
03-23-2020,158,0,0,158,0.0,0.0,0.17037037037037037
03-24-2020,162,0,0,162,0.0,0.0,0.02531645569620253
03-25-2020,189,0,0,189,0.0,0.0,0.16666666666666666
03-26-2020,217,0,0,217,0.0,0.0,0.14814814814814814
03-27-2020,238,0,0,238,0.0,0.0,0.0967741935483871
03-28-2020,274,0,0,274,0.0,0.0,0.15126050420168066
03-29-2020,304,1,0,304,0.33,0.0,0.10948905109489052
03-30-2020,310,1,0,310,0.32,0.0,0.019736842105263157
03-31-2020,338,1,41,297,0.3,12.13,0.09032258064516129
04-01-2020,338,2,41,297,0.59,12.13,0.0
04-02-2020,350,4,62,288,1.14,17.71,0.03550295857988166
04-03-2020,369,4,68,301,1.08,18.43,0.054285714285714284
04-04-2020,400,5,93,307,1.25,23.25,0.08401084010840108
04-05-2020,400,5,93,307,1.25,23.25,0.0
04-06-2020,406,6,104,302,1.48,25.62,0.015
04-07-2020,424,7,150,274,1.65,35.38,0.04433497536945813
04-08-2020,424,7,150,274,1.65,35.38,0.0
04-09-2020,456,7,192,264,1.54,42.11,0.07547169811320754
