date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-01-2021,20128693,347788,0,20128693,1.73,0.0,1
01-02-2021,20426184,350186,0,20426184,1.71,0.0,1.0147794494158164
01-03-2021,20636663,351580,0,20636663,1.7,0.0,1.0103043720745881
01-04-2021,20817140,353483,0,20817140,1.7,0.0,1.0087454546309158
01-22-2020,1,0,0,1,0.0,0.0,1.9999999519626614
01-23-2020,1,0,0,1,0.0,0.0,1.0
01-24-2020,2,0,0,2,0.0,0.0,2.0
01-25-2020,2,0,0,2,0.0,0.0,1.0
01-26-2020,5,0,0,5,0.0,0.0,2.5
01-27-2020,5,0,0,5,0.0,0.0,1.0
01-28-2020,5,0,0,5,0.0,0.0,1.0
01-29-2020,5,0,0,5,0.0,0.0,1.0
01-30-2020,5,0,0,5,0.0,0.0,1.0
01-31-2020,6,0,0,6,0.0,0.0,1.2
02-01-2020,8,0,0,8,0.0,0.0,1.3333333333333333
02-02-2020,8,0,0,8,0.0,0.0,1.0
02-03-2020,11,0,0,11,0.0,0.0,1.375
02-04-2020,11,0,0,11,0.0,0.0,1.0
02-05-2020,12,0,0,12,0.0,0.0,1.0909090909090908
02-06-2020,12,0,0,12,0.0,0.0,1.0
02-07-2020,12,0,0,12,0.0,0.0,1.0
02-08-2020,12,0,0,12,0.0,0.0,1.0
02-09-2020,12,0,3,9,0.0,25.0,1.0
02-10-2020,12,0,3,9,0.0,25.0,1.0
02-11-2020,13,0,3,10,0.0,23.08,1.0833333333333333
02-12-2020,13,0,3,10,0.0,23.08,1.0
02-13-2020,15,0,3,12,0.0,20.0,1.1538461538461537
02-14-2020,15,0,3,12,0.0,20.0,1.0
02-15-2020,15,0,3,12,0.0,20.0,1.0
02-16-2020,15,0,3,12,0.0,20.0,1.0
02-17-2020,15,0,3,12,0.0,20.0,1.0
02-18-2020,15,0,3,12,0.0,20.0,1.0
02-19-2020,15,0,3,12,0.0,20.0,1.0
02-20-2020,15,0,3,12,0.0,20.0,1.0
02-21-2020,35,0,5,30,0.0,14.29,2.333333333333333
02-22-2020,35,0,5,30,0.0,14.29,1.0
02-23-2020,35,0,5,30,0.0,14.29,1.0
02-24-2020,53,0,5,48,0.0,9.43,1.5142857142857142
02-25-2020,53,0,6,47,0.0,11.32,1.0
02-26-2020,59,0,6,53,0.0,10.17,1.1132075471698113
02-27-2020,60,0,6,54,0.0,10.0,1.0169491525423728
02-28-2020,62,0,7,55,0.0,11.29,1.0333333333333334
02-29-2020,70,1,7,63,1.43,10.0,1.129032258064516
03-01-2020,76,1,7,69,1.32,9.21,1.0857142857142856
03-02-2020,101,6,7,94,5.94,6.93,1.3289473684210527
03-03-2020,122,7,8,114,5.74,6.56,1.2079207920792079
03-04-2020,153,11,8,145,7.19,5.23,1.2540983606557377
03-05-2020,221,12,8,213,5.43,3.62,1.4444444444444444
03-06-2020,278,14,8,270,5.04,2.88,1.257918552036199
03-07-2020,417,17,8,409,4.08,1.92,1.5
03-08-2020,537,21,8,529,3.91,1.49,1.2877697841726619
03-09-2020,605,22,8,597,3.64,1.32,1.1266294227188083
03-10-2020,959,28,8,951,2.92,0.83,1.5851239669421489
03-11-2020,1281,36,8,1273,2.81,0.62,1.3357664233576643
03-12-2020,1663,40,12,1651,2.41,0.72,1.2982045277127243
03-13-2020,2179,47,12,2167,2.16,0.55,1.3102826217678893
03-14-2020,2726,54,12,2714,1.98,0.44,1.2510325837540157
03-15-2020,3499,63,12,3487,1.8,0.34,1.2835656639765225
03-16-2020,4632,85,17,4615,1.84,0.37,1.3238068019434124
03-17-2020,6421,108,17,6404,1.68,0.26,1.3862262521588946
03-18-2020,7786,118,106,7680,1.52,1.36,1.2125837097025385
03-19-2020,13680,200,108,13572,1.46,0.79,1.7569997431286926
03-20-2020,19101,244,147,18954,1.28,0.77,1.3962719298245614
03-21-2020,25514,307,171,25343,1.2,0.67,1.335741584210251
03-22-2020,33871,427,0,33871,1.26,0.0,1.3275456612056127
03-23-2020,43697,552,0,43697,1.26,0.0,1.2901006760945943
03-24-2020,53805,706,348,53457,1.31,0.65,1.2313202279332678
03-25-2020,65888,942,361,65527,1.43,0.55,1.2245702072298115
03-26-2020,83893,1209,681,83212,1.44,0.81,1.2732667557066537
03-27-2020,101754,1581,869,100885,1.55,0.85,1.2129021491661998
03-28-2020,121572,2026,1072,120500,1.67,0.88,1.1947638422076774
03-29-2020,140964,2468,2665,138299,1.75,1.89,1.1595104135820749
03-30-2020,161959,2979,5644,156315,1.84,3.48,1.148938736131211
03-31-2020,188248,3875,7024,181224,2.06,3.73,1.162318858476528
04-01-2020,213508,4843,8474,205034,2.27,3.97,1.134184692533254
04-02-2020,243737,6003,9001,234736,2.46,3.69,1.1415825168143583
04-03-2020,275697,7175,9707,265990,2.6,3.52,1.1311249420481913
04-04-2020,308980,8498,14652,294328,2.75,4.74,1.1207231126925574
04-05-2020,337212,9723,17448,319764,2.88,5.17,1.091371609812933
04-06-2020,366794,10867,19581,347213,2.96,5.34,1.087725229232649
04-07-2020,396362,12819,21763,374599,3.23,5.49,1.0806120056489474
04-08-2020,429370,14779,23559,405811,3.44,5.49,1.0832774080259964
04-09-2020,461688,16538,25410,436278,3.58,5.5,1.0752684165172228
04-10-2020,496735,18652,28790,467945,3.75,5.8,1.0759105716414548
04-11-2020,526546,20531,31270,495276,3.9,5.94,1.0600138907063121
04-12-2020,555431,22101,32988,522443,3.98,5.94,1.0548575053271698
04-13-2020,580755,23619,43482,537273,4.07,7.49,1.0455934220452225
04-14-2020,607779,25924,47763,560016,4.27,7.86,1.0465325309295659
04-15-2020,636616,28408,52096,584520,4.46,8.18,1.0474465225024228
04-16-2020,667945,32987,54703,613242,4.94,8.19,1.0492117697324603
04-17-2020,699713,36838,58545,641168,5.26,8.37,1.0475608021618545
04-18-2020,732280,38733,64840,667440,5.29,8.85,1.0465433684953689
04-19-2020,759177,40734,70337,688840,5.37,9.26,1.0367304856065986
04-20-2020,784415,42184,72329,712086,5.38,9.22,1.033243894375093
04-21-2020,812066,44536,75204,736862,5.48,9.26,1.0352504732826373
04-22-2020,840348,46699,77366,762982,5.56,9.21,1.034827218477316
04-23-2020,869237,50018,80203,789034,5.75,9.23,1.0343774245907649
04-24-2020,905399,52017,99079,806320,5.75,10.94,1.04160200267591
04-25-2020,938425,53825,100372,838053,5.74,10.7,1.0364767356712346
04-26-2020,965849,54961,106988,858861,5.69,11.08,1.0292234328795589
04-27-2020,988275,56336,111424,876851,5.7,11.27,1.0232189503742304
04-28-2020,1012671,58414,115936,896735,5.77,11.45,1.0246854367458451
04-29-2020,1040103,61023,120720,919383,5.87,11.61,1.0270887583430355
04-30-2020,1069544,63041,153947,915597,5.89,14.39,1.0283058504782698
05-01-2020,1103628,64994,164015,939613,5.89,14.86,1.0318677866455237
05-02-2020,1132641,66425,175382,957259,5.86,15.48,1.02628874946993
05-03-2020,1158133,67753,180152,977981,5.85,15.56,1.0225066901162858
05-04-2020,1180470,68998,187180,993290,5.84,15.86,1.0192870767001718
05-05-2020,1204470,71125,189791,1014679,5.91,15.76,1.0203308851559125
05-06-2020,1228708,73497,189910,1038798,5.98,15.46,1.0201233737660549
05-07-2020,1257129,75726,195036,1062093,6.02,15.51,1.0231308008086544
05-08-2020,1284011,77237,198993,1085018,6.02,15.5,1.0213836447969937
05-09-2020,1309623,78845,212534,1097089,6.02,16.23,1.0199468696140455
05-10-2020,1329367,79587,216169,1113198,5.99,16.26,1.015076094418012
05-11-2020,1348010,80739,232733,1115277,5.99,17.26,1.0140239677982077
05-12-2020,1369943,82438,230287,1139656,6.02,16.81,1.0162706508111958
05-13-2020,1390563,84170,243430,1147133,6.05,17.51,1.0150517211300032
05-14-2020,1417865,85957,246414,1171451,6.06,17.38,1.0196337742338895
05-15-2020,1442976,87594,250747,1192229,6.07,17.38,1.017710430823809
05-16-2020,1467991,88818,268376,1199615,6.05,18.28,1.017335700663074
05-17-2020,1487148,89632,272265,1214883,6.03,18.31,1.0130498075260679
05-18-2020,1508687,90428,283178,1225509,5.99,18.77,1.014483427338772
05-19-2020,1529053,91973,289392,1239661,6.02,18.93,1.0134991552257029
05-20-2020,1552139,93494,294312,1257827,6.02,18.96,1.015098234004969
05-21-2020,1577487,94747,298418,1279069,6.01,18.92,1.016331011591101
05-22-2020,1601259,96022,350135,1251124,6.0,21.87,1.0150695378155257
05-23-2020,1622901,97140,361239,1261662,5.99,22.26,1.013515614900525
05-24-2020,1643456,97774,366736,1276720,5.95,22.31,1.0126655908154594
05-25-2020,1662601,98272,379157,1283444,5.91,22.81,1.0116492318626116
05-26-2020,1681200,98962,384902,1296298,5.89,22.89,1.0111866888086798
05-27-2020,1699461,100458,391508,1307953,5.91,23.04,1.0108618843683084
05-28-2020,1722027,101650,399991,1322036,5.9,23.23,1.0132783276580044
05-29-2020,1746344,102851,406446,1339898,5.89,23.27,1.014121149087674
05-30-2020,1770745,103820,416461,1354284,5.86,23.52,1.0139726193693797
05-31-2020,1790455,104428,444758,1345697,5.83,24.84,1.0111309081770667
06-01-2020,1811220,105200,458231,1352989,5.81,25.3,1.0115976106632114
06-02-2020,1832194,106221,463868,1368326,5.8,25.32,1.0115800399730568
06-03-2020,1851922,107215,479258,1372664,5.79,25.88,1.0107674187340423
06-04-2020,1873182,108260,485002,1388180,5.78,25.89,1.0114799651389206
06-05-2020,1903633,109409,491706,1411927,5.75,25.83,1.0162562954373895
06-06-2020,1926433,110123,500849,1425584,5.72,26.0,1.0119770985268695
06-07-2020,1944513,110576,506367,1438146,5.69,26.04,1.0093852212872183
06-08-2020,1962065,111067,518522,1443543,5.66,26.43,1.0090264246112008
06-09-2020,1980180,112033,524860,1455320,5.66,26.51,1.0092326197144335
06-10-2020,2001671,112968,533504,1468167,5.64,26.65,1.0108530537627893
06-11-2020,2024270,113860,540292,1483978,5.62,26.69,1.0112900671488971
06-12-2020,2050058,114708,547386,1502672,5.6,26.7,1.0127394072925056
06-13-2020,2075654,115471,556606,1519048,5.56,26.82,1.0124855004102322
