date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-14-2020,2,0,0,2,0.0,0.0,1
03-15-2020,10,0,0,10,0.0,0.0,5.0
03-16-2020,17,0,0,17,0.0,0.0,1.7
03-17-2020,33,0,0,33,0.0,0.0,1.9411764705882353
03-18-2020,36,0,0,36,0.0,0.0,1.0909090909090908
03-19-2020,42,0,0,42,0.0,0.0,1.1666666666666667
03-20-2020,42,0,0,42,0.0,0.0,1.0
03-21-2020,70,0,0,70,0.0,0.0,1.6666666666666665
03-22-2020,70,0,15,55,0.0,21.43,1.0
03-23-2020,77,0,15,62,0.0,19.48,1.1
03-24-2020,84,0,15,69,0.0,17.86,1.0909090909090908
03-25-2020,91,0,15,76,0.0,16.48,1.0833333333333333
03-26-2020,107,0,15,92,0.0,14.02,1.1758241758241759
03-27-2020,107,1,31,76,0.93,28.97,1.0
03-28-2020,119,2,39,80,1.68,32.77,1.1121495327102804
03-29-2020,119,2,39,80,1.68,32.77,1.0
03-30-2020,135,3,39,96,2.22,28.89,1.134453781512605
03-31-2020,135,3,39,96,2.22,28.89,1.0
04-01-2020,143,3,41,102,2.1,28.67,1.0592592592592593
04-02-2020,146,5,43,103,3.42,29.45,1.020979020979021
04-03-2020,153,7,52,101,4.58,33.99,1.047945205479452
04-04-2020,155,7,52,103,4.52,33.55,1.0130718954248366
04-05-2020,159,7,52,107,4.4,32.7,1.0258064516129033
04-06-2020,165,7,65,100,4.24,39.39,1.0377358490566038
04-07-2020,165,7,65,100,4.24,39.39,1.0
04-08-2020,167,9,65,102,5.39,38.92,1.0121212121212122
04-09-2020,171,9,84,87,5.26,49.12,1.0239520958083832
04-10-2020,171,9,84,87,5.26,49.12,1.0
04-11-2020,175,9,93,82,5.14,53.14,1.023391812865497
04-12-2020,181,9,93,88,4.97,51.38,1.0342857142857143
04-13-2020,189,9,110,79,4.76,58.2,1.0441988950276242
04-14-2020,189,9,110,79,4.76,58.2,1.0
04-15-2020,197,9,111,86,4.57,56.35,1.0423280423280423
04-16-2020,204,9,111,93,4.41,54.41,1.0355329949238579
04-17-2020,204,9,111,93,4.41,54.41,1.0
04-18-2020,227,9,113,114,3.96,49.78,1.1127450980392157
04-19-2020,256,9,117,139,3.52,45.7,1.1277533039647576
04-20-2020,256,9,117,139,3.52,45.7,1.0
04-21-2020,285,10,117,168,3.51,41.05,1.11328125
04-22-2020,288,10,122,166,3.47,42.36,1.0105263157894737
04-23-2020,311,10,126,185,3.22,40.51,1.0798611111111112
04-24-2020,318,10,132,186,3.14,41.51,1.022508038585209
04-25-2020,323,10,132,191,3.1,40.87,1.0157232704402517
04-26-2020,325,10,137,188,3.08,42.15,1.0061919504643964
04-27-2020,329,10,142,187,3.04,43.16,1.0123076923076924
04-28-2020,329,10,142,187,3.04,43.16,1.0
04-29-2020,331,10,142,189,3.02,42.9,1.006079027355623
04-30-2020,333,16,142,191,4.8,42.64,1.0060422960725075
05-01-2020,335,10,148,187,2.99,44.18,1.006006006006006
05-02-2020,345,10,148,197,2.9,42.9,1.0298507462686568
05-03-2020,357,10,158,199,2.8,44.26,1.0347826086956522
05-04-2020,357,10,158,199,2.8,44.26,1.0
05-05-2020,361,10,158,203,2.77,43.77,1.011204481792717
05-06-2020,379,10,176,203,2.64,46.44,1.0498614958448753
05-07-2020,381,10,185,196,2.62,48.56,1.0052770448548813
05-08-2020,388,10,190,198,2.58,48.97,1.0183727034120735
05-09-2020,402,10,190,212,2.49,47.26,1.0360824742268042
05-10-2020,414,10,193,221,2.42,46.62,1.0298507462686568
05-11-2020,422,10,205,217,2.37,48.58,1.0193236714975846
05-12-2020,423,10,220,203,2.36,52.01,1.0023696682464456
05-13-2020,423,10,220,203,2.36,52.01,1.0
05-14-2020,455,10,220,235,2.2,48.35,1.0756501182033098
