date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-26-2020,84,1,17,67,1.19,20.24,1
03-27-2020,91,1,17,74,1.1,18.68,1.0833333333333333
03-28-2020,98,1,18,80,1.02,18.37,1.0769230769230769
03-29-2020,109,1,18,91,0.92,16.51,1.1122448979591837
03-30-2020,116,1,18,98,0.86,15.52,1.0642201834862386
03-31-2020,119,1,18,101,0.84,15.13,1.0258620689655173
04-01-2020,134,1,18,116,0.75,13.43,1.1260504201680672
04-02-2020,161,1,18,143,0.62,11.18,1.2014925373134329
04-03-2020,194,1,21,173,0.52,10.82,1.204968944099379
04-04-2020,217,1,21,196,0.46,9.68,1.1185567010309279
04-05-2020,237,1,25,212,0.42,10.55,1.0921658986175116
04-06-2020,254,1,24,230,0.39,9.45,1.0717299578059072
04-07-2020,261,1,42,219,0.38,16.09,1.0275590551181102
04-08-2020,263,1,44,219,0.38,16.73,1.0076628352490422
04-09-2020,263,1,44,219,0.38,16.73,1.0
04-10-2020,267,2,45,222,0.75,16.85,1.015209125475285
04-11-2020,268,2,57,211,0.75,21.27,1.00374531835206
04-12-2020,290,2,58,232,0.69,20.0,1.0820895522388059
04-13-2020,308,2,58,250,0.65,18.83,1.0620689655172413
04-14-2020,308,2,62,246,0.65,20.13,1.0
04-15-2020,374,2,63,311,0.53,16.84,1.2142857142857142
04-16-2020,374,2,63,311,0.53,16.84,1.0
04-17-2020,402,2,69,333,0.5,17.16,1.0748663101604279
04-18-2020,418,2,69,349,0.48,16.51,1.0398009950248757
04-19-2020,437,3,71,366,0.69,16.25,1.0454545454545454
04-20-2020,449,3,71,378,0.67,15.81,1.0274599542334095
04-21-2020,466,4,71,395,0.86,15.24,1.0378619153674833
04-22-2020,474,4,71,403,0.84,14.98,1.0171673819742488
04-23-2020,480,4,92,388,0.83,19.17,1.0126582278481013
04-24-2020,484,4,92,392,0.83,19.01,1.0083333333333333
04-25-2020,342,2,92,250,0.58,26.9,1.2933884297520661
04-26-2020,342,2,83,259,0.58,24.27,1.0
04-27-2020,342,2,83,259,0.58,24.27,1.0
04-28-2020,343,2,71,272,0.58,20.7,1.0029239766081872
04-29-2020,344,2,71,273,0.58,20.64,1.0029154518950438
04-30-2020,344,2,76,268,0.58,22.09,1.0
05-01-2020,353,2,76,277,0.57,21.53,1.0261627906976745
05-02-2020,353,2,76,277,0.57,21.53,1.0
05-03-2020,353,2,77,276,0.57,21.81,1.0
