date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
03-20-2020,1,0,0,1,0.0,0.0,1
03-21-2020,3,0,0,3,0.0,0.0,3.0
03-22-2020,3,0,0,3,0.0,0.0,1.0
03-23-2020,3,1,0,3,33.33,0.0,1.0
03-24-2020,3,1,0,3,33.33,0.0,1.0
03-25-2020,3,1,0,3,33.33,0.0,1.0
03-26-2020,3,1,0,3,33.33,0.0,1.0
03-27-2020,5,1,0,5,20.0,0.0,1.6666666666666665
03-28-2020,7,1,0,7,14.29,0.0,1.4
03-29-2020,7,1,0,7,14.29,0.0,1.0
03-30-2020,7,1,0,7,14.29,0.0,1.0
03-31-2020,8,1,0,8,12.5,0.0,1.1428571428571428
04-01-2020,8,1,0,8,12.5,0.0,1.0
04-02-2020,9,1,0,9,11.11,0.0,1.125
04-03-2020,9,1,0,9,11.11,0.0,1.0
04-04-2020,9,1,0,9,11.11,0.0,1.0
04-05-2020,9,1,0,9,11.11,0.0,1.0
04-06-2020,10,1,0,10,10.0,0.0,1.1111111111111112
04-07-2020,11,2,0,11,18.18,0.0,1.1
04-08-2020,11,3,0,11,27.27,0.0,1.0
04-09-2020,11,3,0,11,27.27,0.0,1.0
04-10-2020,13,3,0,13,23.08,0.0,1.1818181818181819
04-11-2020,14,3,0,14,21.43,0.0,1.0769230769230769
04-12-2020,14,3,0,14,21.43,0.0,1.0
04-13-2020,17,3,0,17,17.65,0.0,1.2142857142857142
04-14-2020,17,3,0,17,17.65,0.0,1.0
04-15-2020,23,3,1,22,13.04,4.35,1.3529411764705883
04-16-2020,23,3,1,22,13.04,4.35,1.0
04-17-2020,24,3,2,22,12.5,8.33,1.0434782608695652
04-18-2020,25,3,2,23,12.0,8.0,1.0416666666666667
04-19-2020,25,3,2,23,12.0,8.0,1.0
04-20-2020,25,3,2,23,12.0,8.0,1.0
04-21-2020,28,3,2,26,10.71,7.14,1.12
04-22-2020,28,4,2,26,14.29,7.14,1.0
04-23-2020,28,4,2,26,14.29,7.14,1.0
04-24-2020,29,4,2,27,13.79,6.9,1.0357142857142858
04-25-2020,31,4,2,29,12.9,6.45,1.0689655172413792
04-26-2020,31,4,2,29,12.9,6.45,1.0
04-27-2020,32,4,5,27,12.5,15.63,1.032258064516129
04-28-2020,32,4,5,27,12.5,15.63,1.0
04-29-2020,32,4,5,27,12.5,15.63,1.0
04-30-2020,40,4,5,35,10.0,12.5,1.25
05-01-2020,40,4,5,35,10.0,12.5,1.0
05-02-2020,34,4,5,29,11.76,14.71,1.15
05-03-2020,34,4,5,29,11.76,14.71,1.0
05-04-2020,34,4,5,29,11.76,14.71,1.0
05-05-2020,34,4,5,29,11.76,14.71,1.0
05-06-2020,34,4,5,29,11.76,14.71,1.0
05-07-2020,34,4,5,29,11.76,14.71,1.0
05-08-2020,34,4,9,25,11.76,26.47,1.0
05-09-2020,35,4,9,26,11.43,25.71,1.0294117647058822
05-10-2020,36,4,9,27,11.11,25.0,1.0285714285714285
05-11-2020,36,4,9,27,11.11,25.0,1.0
05-12-2020,36,4,9,27,11.11,25.0,1.0
05-13-2020,37,4,12,25,10.81,32.43,1.0277777777777777
05-14-2020,37,4,13,24,10.81,35.14,1.0
05-15-2020,42,4,13,29,9.52,30.95,1.135135135135135
05-16-2020,42,4,13,29,9.52,30.95,1.0
05-17-2020,44,4,17,27,9.09,38.64,1.0476190476190477
05-18-2020,46,4,18,28,8.7,39.13,1.0454545454545454
05-19-2020,46,4,18,28,8.7,39.13,1.0
05-20-2020,48,4,18,30,8.33,37.5,1.0434782608695652
05-21-2020,51,4,18,33,7.84,35.29,1.0625
05-22-2020,51,4,18,33,7.84,35.29,1.0
05-23-2020,56,4,18,38,7.14,32.14,1.0980392156862746
05-24-2020,56,4,25,31,7.14,44.64,1.0
05-25-2020,56,4,25,31,7.14,44.64,1.0
05-26-2020,56,4,25,31,7.14,44.64,1.0
05-27-2020,132,4,25,107,3.03,18.94,2.357142857142857
05-28-2020,149,4,28,121,2.68,18.79,1.128787878787879
